"Termino","Documento","TipoEvidencia","Confianza","Clasificacion","Motivo","EstadoValidacion"
"Declaración de Visión","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Doctrina de Arquitectura","FND-011","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Documentación","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Ecosistema","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Ecosistema documental","FND-000","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR","","EN_REVISION"
"Estándar de Documentación","FND-014","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Filosofía de Diseño","FND-009","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Gobernanza","FND-000","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Gobernanza Técnica","FND-006","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Herramientas","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Horizonte","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR","","EN_REVISION"
"Impacto esperado","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Independencia del Framework","FND-013","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Indicadores de éxito","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Ingeniería","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Ingeniería","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR_CONCEPTO","Concepto potencialmente terminológico; requiere definición y autoridad.","EN_REVISION"
"Lenguaje Oficial de MEF","FND-005","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Manifiesto de Desarrollo","FND-007","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Misión","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR","","EN_REVISION"
"Misión","FND-002","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Motivación","FND-000","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Nuestra misión","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Objetivos estratégicos","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Principios de actuación","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Principios de Arquitectura","FND-004","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Principios de evolución","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Principios fundamentales","FND-000","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR","","EN_REVISION"
"Relación con la Visión","FND-002","ENCABEZADO_CONCEPTUAL","MEDIA","DESCARTAR_EDITORIAL","Encabezado documental; no demuestra identidad terminológica.","EN_REVISION"
"Valores","FND-003","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
"Visión","FND-001","ENCABEZADO_CONCEPTUAL","MEDIA","REVISAR","","EN_REVISION"
"Visión","FND-001","TITULO_DOCUMENTAL","ALTA","REVISAR_AUTORIDAD","Título documental; requiere demostrar que representa concepto terminológico.","EN_REVISION"
