clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id,resolucion_autoridad_10_4,autoridad_principal,evidencia_subordinada,fundamento_autoridad,conflicto_detectado,decision_10_5,nombre_canonico_pre_id,aliases_provisionales,fundamento_10_5,estado_catalogo
ai-055,AI-055,AI-055,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-010,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-055,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-056,AI-056,AI-056,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-010,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-056,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-057,AI-057,AI-057,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-010,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-057,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-058,AI-058,AI-058,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-010,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-058,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-058 la generacion,AI-058 La generación,AI-058 La generación,1,1,ARQ,1,ARQ-010,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-010,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-058 La generación,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-059,AI-059,AI-059,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-010,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-059,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-059 las plantilla,AI-059 Las plantillas,AI-059 Las plantillas,1,1,ARQ,1,ARQ-010,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-010,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-059 Las plantillas,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-060,AI-060,AI-060,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-010,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-060,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-061,AI-061,AI-061,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-011,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-061,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-062,AI-062,AI-062,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-011,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-062,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-063,AI-063,AI-063,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-011,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-063,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-064,AI-064,AI-064,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-011,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-064,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-064 los contract,AI-064 Los Contracts,AI-064 Los Contracts,1,1,ARQ,1,ARQ-011,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-011,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-064 Los Contracts,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-065,AI-065,AI-065,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-011,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-065,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-066,AI-066,AI-066,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-011,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-066,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-066 los contract,AI-066 Los Contracts,AI-066 Los Contracts,1,1,ARQ,1,ARQ-011,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-011,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-066 Los Contracts,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-067,AI-067,AI-067,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-012,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-067,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-068,AI-068,AI-068,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-012,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-068,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-069,AI-069,AI-069,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-012,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-069,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-070,AI-070,AI-070,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-012,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-070,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-071,AI-071,AI-071,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-012,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-071,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-072,AI-072,AI-072,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-012,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-072,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-072 constructor injection,AI-072 Constructor Injection,AI-072 Constructor Injection,1,1,ARQ,1,ARQ-012,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-012,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-072 Constructor Injection,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-073,AI-073,AI-073,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-013,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-073,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-074,AI-074,AI-074,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-013,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-074,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-075,AI-075,AI-075,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-013,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-075,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-075 toda politica,AI-075 Toda política,AI-075 Toda política,1,1,ARQ,1,ARQ-013,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-013,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-075 Toda política,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-076,AI-076,AI-076,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-013,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-076,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-076 la configuracion,AI-076 La configuración,AI-076 La configuración,1,1,ARQ,1,ARQ-013,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-013,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-076 La configuración,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-077,AI-077,AI-077,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-013,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-077,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-078,AI-078,AI-078,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-013,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-078,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-097,AI-097,AI-097,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-017,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-097,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-098,AI-098,AI-098,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-017,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-098,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-099,AI-099,AI-099,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-017,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-099,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-100,AI-100,AI-100,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-017,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-100,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-101,AI-101,AI-101,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-017,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-101,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-102,AI-102,AI-102,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-017,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-102,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
ai-102 todo package,AI-102 Todo Package,AI-102 Todo Package,1,1,ARQ,1,ARQ-017,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-017,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,AI-102 Todo Package,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
alcance del producto,Alcance del producto,Alcance del producto,1,1,FND,1,FND-000,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_FND,FND-000,,Existe evidencia FND; FND prevalece en la cadena de autoridad.,NO,CANONICO_PRE_ID,Alcance del producto,,Autoridad FND directa; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
anatomia conceptual,Anatomía conceptual,Anatomía conceptual,1,1,ARQ,1,ARQ-004,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,Anatomía conceptual,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
api publica,API pública,API Pública; API pública,2,5,ARQ;ENG,3,ARQ-004;ENG-001;ENG-002,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,ENG-001;ENG-002,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,API pública,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
api publica accidental,API pública accidental,API pública accidental,1,1,ARQ,1,ARQ-004,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,API pública accidental,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
area de actuacion,Áreas de actuación,Áreas de actuación,1,1,FND,1,FND-002,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_FND,FND-002,,Existe evidencia FND; FND prevalece en la cadena de autoridad.,NO,CANONICO_PRE_ID,Áreas de actuación,,Autoridad FND directa; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
arq-004,ARQ-004,ARQ-004,1,3,ARQ;ENG,2,ARQ-004;ENG-002,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-004,ENG-002,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,ARQ-004,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
arq-010,ARQ-010,ARQ-010,1,1,ARQ,1,ARQ-010,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-010,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,ARQ-010,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
arq-011,ARQ-011,ARQ-011,1,2,ARQ;ENG,2,ARQ-011;ENG-016,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-011,ENG-016,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,ARQ-011,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
arq-012,ARQ-012,ARQ-012,1,1,ARQ,1,ARQ-012,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-012,,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,ARQ-012,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
arq-013,ARQ-013,ARQ-013,1,2,ARQ;ENG,2,ARQ-013;ENG-011,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-013,ENG-011,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,ARQ-013,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
arq-017,ARQ-017,ARQ-017,1,2,ARQ;ENG,2,ARQ-017;ENG-002,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO,AUTORIDAD_ARQ,ARQ-017,ENG-002,"No existe FND, pero sí evidencia ARQ; ARQ es la autoridad inmediata.",NO,CANONICO_PRE_ID,ARQ-017,,Autoridad ARQ directa sin autoridad FND superior registrada; habilitado como entrada canónica preliminar.,CANONICO_PRE_ID
