mef_v3_id,termino_canonico,capa,fuente_id,archivo,linea,tipo_coincidencia,forma_encontrada,contexto
MEF-V3-DIC-0043,AI-098,ARQ,ARQ-017,ARQ-017-PACKAGING.md,212,CANONICO,AI-098,| AI-098 | Todo Package incorpora Manifest oficial. |
MEF-V3-DIC-0044,AI-099,ARQ,ARQ-017,ARQ-017-PACKAGING.md,213,CANONICO,AI-099,| AI-099 | Todo Package declara dependencias explícitas. |
MEF-V3-DIC-0045,AI-100,ARQ,ARQ-017,ARQ-017-PACKAGING.md,214,CANONICO,AI-100,| AI-100 | Todo Package respeta Semantic Versioning. |
MEF-V3-DIC-0046,AI-101,ARQ,ARQ-017,ARQ-017-PACKAGING.md,215,CANONICO,AI-101,| AI-101 | Ningún Package modifica directamente el Core. |
MEF-V3-DIC-0047,AI-102,ARQ,ARQ-017,ARQ-017-PACKAGING.md,216,CANONICO,AI-102,| AI-102 | Todo Package es verificable antes de instalarse. |
MEF-V3-DIC-0048,AI-102 Todo Package,ARQ,ARQ-017,ARQ-017-PACKAGING.md,216,CANONICO,AI-102 Todo Package,| AI-102 | Todo Package es verificable antes de instalarse. |
MEF-V3-DIC-0049,Anatomía conceptual,ARQ,ARQ-004,ARQ-004-MODULES.md,137,CANONICO,Anatomía conceptual,# 7. Anatomía conceptual
MEF-V3-DIC-0050,API pública,ARQ,ARQ-004,ARQ-004-MODULES.md,115,CANONICO,API pública,- exponer únicamente una API pública definida;
MEF-V3-DIC-0050,API pública,ARQ,ARQ-004,ARQ-004-MODULES.md,198,CANONICO,API pública,# 9. API pública
MEF-V3-DIC-0050,API pública,ARQ,ARQ-004,ARQ-004-MODULES.md,200,CANONICO,API pública,Cada Module deberá establecer una frontera clara entre su API pública y su implementación interna.
MEF-V3-DIC-0050,API pública,ARQ,ARQ-004,ARQ-004-MODULES.md,202,CANONICO,API pública,## API pública
MEF-V3-DIC-0050,API pública,ARQ,ARQ-004,ARQ-004-MODULES.md,590,CANONICO,API pública,| AI-013 | Los elementos internos de un Module no forman parte de su API pública. |
MEF-V3-DIC-0050,API pública,ARQ,ARQ-004,ARQ-004-MODULES.md,623,CANONICO,API pública,## API pública accidental
MEF-V3-DIC-0050,API pública,ARQ,ARQ-004,ARQ-004-MODULES.md,635,CANONICO,API pública,- ¿Su API pública está definida?
MEF-V3-DIC-0050,API pública,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,326,CANONICO,API pública,# 14. API Pública
MEF-V3-DIC-0050,API pública,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,340,CANONICO,API pública,La API pública constituye la superficie soportada para interacción externa.
MEF-V3-DIC-0050,API pública,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,445,CANONICO,API pública,- API pública;
MEF-V3-DIC-0050,API pública,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,106,CANONICO,API pública,- API pública;
MEF-V3-DIC-0050,API pública,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,293,CANONICO,API pública,# 13. API Pública
MEF-V3-DIC-0050,API pública,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,620,CANONICO,API pública,El mecanismo de persistencia deberá permanecer separado de la API pública del Module cuando corresponda.
MEF-V3-DIC-0050,API pública,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,825,CANONICO,API pública,- API pública;
MEF-V3-DIC-0050,API pública,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,908,CANONICO,API pública,| API pública explícita | Sí |
MEF-V3-DIC-0050,API pública,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,928,CANONICO,API pública,| EI-024 | Todo Module deberá definir explícitamente su API pública. |
MEF-V3-DIC-0050,API pública,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,985,CANONICO,API pública,- exponga una API pública explícita;
MEF-V3-DIC-0050,API pública,ENG,ENG-004,ENG-004-CONVENCIONES.md,335,CANONICO,API pública,Toda API pública deberá ser:
MEF-V3-DIC-0050,API pública,ENG,ENG-004,ENG-004-CONVENCIONES.md,815,CANONICO,API pública,Antes de modificar una API pública deberá evaluarse:
MEF-V3-DIC-0050,API pública,ENG,ENG-006,ENG-006-ESTRUCTURA_DE_DIRECTORIOS.md,1451,CANONICO,API pública,- es parte de una API pública;
MEF-V3-DIC-0050,API pública,ENG,ENG-016,ENG-016-COMPATIBILITY.md,1018,CANONICO,API pública,Una API pública deberá evaluarse como Contract.
MEF-V3-DIC-0050,API pública,ENG,ENG-028,ENG-028-MODULE_ENGINEERING.md,1328,CANONICO,API pública,Providers internos no deberán convertirse automáticamente en API pública.
MEF-V3-DIC-0050,API pública,ENG,ENG-030,ENG-030-PERSISTENCE_ENGINEERING.md,266,CANONICO,API pública,La existencia de una tabla compartida no deberá interpretarse como API pública.
MEF-V3-DIC-0050,API pública,ENG,ENG-033,ENG-033-INTERFACE_ENGINEERING.md,1390,CANONICO,API pública,delegue semánticas específicas de API pública a ENG-044.
MEF-V3-DIC-0050,API pública,ENG,ENG-041,ENG-041-MESSAGING_ENGINEERING.md,3704,CANONICO,API pública,Modelo interno se convierte accidentalmente en API pública.
MEF-V3-DIC-0050,API pública,ENG,ENG-044,ENG-044-API_ENGINEERING.md,136,CANONICO,API pública,"> **Toda API pública deberá ser tratada como un contrato versionado, seguro, observable y evolutivo, independiente de la estructura interna de Application, Domain, Persistence y Transport.**"
MEF-V3-DIC-0050,API pública,ENG,ENG-044,ENG-044-API_ENGINEERING.md,1540,CANONICO,API pública,Toda API pública susceptible de abuso deberá soportar Rate Limiting.
MEF-V3-DIC-0050,API pública,ENG,ENG-044,ENG-044-API_ENGINEERING.md,1984,CANONICO,API pública,Toda HTTP API pública estable deberá poder describirse mediante OpenAPI o Contract equivalente.
MEF-V3-DIC-0050,API pública,ENG,ENG-044,ENG-044-API_ENGINEERING.md,2625,CANONICO,API pública,Toda API pública deberá poseer Contract Tests.
MEF-V3-DIC-0050,API pública,ENG,ENG-044,ENG-044-API_ENGINEERING.md,3544,CANONICO,API pública,"| EI-826 | Toda API pública deberá constituir una Boundary contractual explícita, versionada, segura y observable. |"
MEF-V3-DIC-0050,API pública,ENG,ENG-044,ENG-044-API_ENGINEERING.md,3559,CANONICO,API pública,| EI-841 | Toda HTTP API pública estable deberá poseer Specification verificable y deberá evitar Drift entre Runtime y OpenAPI. |
MEF-V3-DIC-0050,API pública,ENG,ENG-044,ENG-044-API_ENGINEERING.md,3971,CANONICO,API pública,"> **MEF deberá considerar cada API pública como un producto contractual de larga duración: la implementación puede cambiar, pero el Consumer deberá recibir semántica estable, seguridad explícita, evolución controlada y comportamiento observable.**"
MEF-V3-DIC-0050,API pública,ENG,ENG-057,ENG-057-METADATA_ENGINEERING.md,2689,CANONICO,API pública,Una API publica topología interna o información de seguridad.
MEF-V3-DIC-0051,API pública accidental,ARQ,ARQ-004,ARQ-004-MODULES.md,623,CANONICO,API pública accidental,## API pública accidental
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-001,ARQ-001-VISION_ARQUITECTONICA.md,19,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-002,ARQ-002-CORE.md,19,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-003,ARQ-003-PLATFORM.md,17,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-004,ARQ-004-MODULES.md,2,CANONICO,ARQ-004,id: ARQ-004
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-004,ARQ-004-MODULES.md,32,CANONICO,ARQ-004,# ARQ-004
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-005,ARQ-005-KERNEL.md,15,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-006,ARQ-006-REGISTRY.md,14,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-008,ARQ-008-EVENT_BUS.md,14,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-015,ARQ-015-EXTENSION_MODEL.md,13,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-017,ARQ-017-PACKAGING.md,13,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ARQ,ARQ-017,ARQ-017-PACKAGING.md,300,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-000,ENG-000-INGENIERIA_GENERAL.md,190,CANONICO,ARQ-004,ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-000,ENG-000-INGENIERIA_GENERAL.md,696,CANONICO,ARQ-004,ARQ-004 Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-000,ENG-000-INGENIERIA_GENERAL.md,834,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,16,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-001,ENG-001-ORGANIZACION_DEL_CODIGO.md,1066,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,15,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,51,CANONICO,ARQ-004,"Este documento materializa los principios establecidos en **ARQ-004 — Modules** y establece los requisitos mínimos que deberá cumplir cualquier Module para ser reconocido, validado, registrado, ejecutado y distribuido dentro del ecosistema MEF."
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,77,CANONICO,ARQ-004,La relación entre `ARQ-004` y `ENG-002` será:
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,80,CANONICO,ARQ-004,ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,93,CANONICO,ARQ-004,ENG-002 no podrá contradecir las reglas arquitectónicas establecidas en ARQ-004.
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,1099,CANONICO,ARQ-004,ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,1138,CANONICO,ARQ-004,Esta especificación transforma el modelo arquitectónico definido en `ARQ-004` en requisitos técnicos verificables que posteriormente podrán ser automatizados mediante herramientas de Ingeniería.
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-002,ENG-002-ESPECIFICACION_DE_MODULES.md,1151,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-003,ENG-003-MANIFEST.md,16,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-003,ENG-003-MANIFEST.md,1405,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-004,ENG-004-CONVENCIONES.md,1572,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-005,ENG-005-NOMENCLATURA.md,2540,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-006,ENG-006-ESTRUCTURA_DE_DIRECTORIOS.md,21,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-006,ENG-006-ESTRUCTURA_DE_DIRECTORIOS.md,1660,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-009,ENG-009-TESTING.md,1773,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-013,ENG-013-PACKAGE_MANAGER.md,3024,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-014,ENG-014-VERSIONADO.md,2759,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-015,ENG-015-ARCHITECTURAL_STATE_MACHINE.md,21,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-015,ENG-015-ARCHITECTURAL_STATE_MACHINE.md,3165,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-016,ENG-016-COMPATIBILITY.md,22,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-016,ENG-016-COMPATIBILITY.md,3277,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-018,ENG-018-DEPENDENCY_INJECTION.md,3014,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-019,ENG-019-SERVICE_CONTAINER.md,23,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-019,ENG-019-SERVICE_CONTAINER.md,2785,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-020,ENG-020-REGISTRY_ENGINNEERING.md,26,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-020,ENG-020-REGISTRY_ENGINNEERING.md,3202,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-021,ENG-021-CONTRACTS_ENGINNEERING.md,25,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-021,ENG-021-CONTRACTS_ENGINNEERING.md,3265,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-022,ENG-022-EVENT_BUS_ENGINNEERING.md,27,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-022,ENG-022-EVENT_BUS_ENGINNEERING.md,3495,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-023,ENG-023-ERROR_HANDLING.md,29,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-023,ENG-023-ERROR_HANDLING.md,3390,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-024,ENG-024-SECURITY_ENGINEERING.md,35,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-024,ENG-024-SECURITY_ENGINEERING.md,4121,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-028,ENG-028-MODULE_ENGINEERING.md,26,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-028,ENG-028-MODULE_ENGINEERING.md,3425,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-029,ENG-029-EXTENSION_ENGINEERING.md,24,CANONICO,ARQ-004,- ARQ-004
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-029,ENG-029-EXTENSION_ENGINEERING.md,2623,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-030,ENG-030-PERSISTENCE_ENGINEERING.md,3068,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-031,ENG-031-SERIALIZATION_ENGINEERING.md,3238,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-032,ENG-032-TRANSPORT_ENGINEERING.md,3251,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-033,ENG-033-INTERFACE_ENGINEERING.md,1719,CANONICO,ARQ-004,ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-034,ENG-034-APPLICATION_ENGINEERING.md,3018,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-035,ENG-035-DOMAIN_ENGINEERING.md,3522,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-036,ENG-036-VALIDATION_ENGINEERING.md,2980,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-037,ENG-037-CACHING_ENGINEERING.md,3256,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-038,ENG-038-CONCURRENCY_ENGINEERING.md,3273,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-039,ENG-039-RESILIENCE_ENGINEERING.md,3178,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-040,ENG-040-SCHEDULING_BACKGROUND_JOBS_ENGINEERING.md,4165,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-041,ENG-041-MESSAGING_ENGINEERING.md,4126,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-042,ENG-042-TRANSACTION_ENGINEERING.md,3375,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-043,ENG-043-DATA_ACCESS_ENGINEERING.md,3605,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-044,ENG-044-API_ENGINEERING.md,4199,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-045,ENG-045-AUTHENTICATION_ENGINEERING.md,3885,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-046,ENG-046-AUTHORIZATION_ENGINEERING.md,3956,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-047,ENG-047-IDENTITY_ACCESS_MANAGEMENT_ENGINEERING.md,4017,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-048,ENG-048-MULTI_TENANCY_ENGINEERING.md,3481,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-049,ENG-049-CONFIGURATION_MANAGEMENT_ENGINEERING.md,3470,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-050,ENG-050-FEATURE_MANAGEMENT_ENGINEERING.md,3016,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-051,ENG-051-POLICY_ENGINEERING.md,3104,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-052,ENG-052-WORKFLOW_ENGINEERING.md,3556,CANONICO,ARQ-004,- ARQ-004 — Modules
MEF-V3-DIC-0052,ARQ-004,ENG,ENG-053,ENG-053-STATE_MANAGEMENT_ENGINEERING.md,3137,CANONICO,ARQ-004,- ARQ-004 — Modules
